date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2022-12-09,32.6,36.13,31.38,28.84,106000,-78328.4211,,,,,,,,,,,,-0.1263,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,106000.0,,,,,,,,,,,,,,,,,,,,,
2022-12-16,32.14,33.64,26.76,24.44,17833086,-16097001.6013,,,,,,,,,,,,-0.7311,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-17727086.0,,,,,,32.5657,,,,,,,,,,6.2013,,,,,
2022-12-23,27.12,29.6,27.1,25.27,15499895,-19940975.5613,,,,,,,,,,,,0.368,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2227191.0,,,,,,32.4813,,,,,,,,,,2.2534,,,,,
2022-12-30,28.16,29.87,27.88,25.84,4896448,-20949791.4809,,,,,,,,,,,,0.2563,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2669257.0,,,,,,32.3977,,,,,,,,,,1.7937,,,,,
2023-01-06,29.0,29.97,28.26,26.84,5260866,-16858006.8142,,,,,,,,,,,,0.4561,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7930123.0,,,,,,32.3149,,,,,,,,,,1.5413,,,,,
2023-01-13,30.5,32.01,30.03,28.74,7377656,-10374612.1475,,,,,,,,,,,,0.702,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15307779.0,,,,,,32.2329,,,,,,,,,,2.01,,,,,
2023-01-20,32.47,32.48,30.94,28.84,4755524,-8573976.8466,,,,,,,,,,,,-0.3042,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20063303.0,,,,,,32.1518,,,,,65.9575,91.0781,,,,1.3926,,,,,
2023-01-27,32.26,32.84,31.26,29.29,7241797,-4458796.964,,,,,,,,,,,,0.1524,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27305100.0,,,,,,32.0715,,,,,86.2624,93.1452,,,,1.4196,,,,,
2023-02-03,32.11,34.01,31.55,30.38,8995124,2269263.2636,,,,,,,,,,,,0.6463,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36300224.0,,,,,,31.992,,,81.7213,92.944,92.944,94.6087,,,,2.2173,,,,,
2023-02-10,33.29,35.79,32.98,31.26,10530476,4480288.4736,5700059.3399,,,,,,,,,,,0.4947,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,46830700.0,,,,,,24.1201,,,89.5669,89.4943,89.4943,80.7292,,,,2.5328,,,,,
2023-02-17,34.67,35.99,34.61,31.64,10738351,1367722.9663,4827311.886,,,,,,,,,,,0.3116,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.7942,,57569051.0,,,9.6875,,,24.2015,,,89.4496,85.9105,85.9105,82.3937,,,,1.2439,,,,,
2023-02-24,34.75,35.0,33.36,30.6,7108168,-653866.0979,3388199.4175,,,,,,,,,,,-0.4893,,,,,28.4992,,,,,,,,,,0,,,,,,,,,,,,,,6.1652,,50460883.0,,,25.2305,,,24.3663,,,82.907,73.3161,73.3161,56.8254,,,,1.5638,,,,,
2023-03-03,34.0,34.5,33.21,31.19,6845139,3856496.8091,3926568.9311,,,,,,,,,,,0.2171,,,,,28.9137,,,,,,,,,,0,,,,,,,,,,,,,,5.9196,,57306022.0,,,23.4217,,,24.5277,,,76.1956,69.3602,69.3602,68.8615,,,,1.1738,,,,,
2023-03-10,34.19,34.7,31.4,28.79,14522510,-8553648.1,-158832.2782,,,,,,,,,,,-0.7727,,,,,28.8948,28.7125,,,,,,,,,0,,,,,,,,,,,28.0365,28.3429,,2.9494,,42783512.0,,,11.4134,,,24.686,,,62.1515,43.7782,43.7782,5.6478,,,,3.0029,28.9038,,,-44.6934,29.6153
2023-03-17,31.03,31.8,30.12,27.95,10690240,-11608002.3857,-2787533.4749,,,,7.1429,0.0,-7.1429,2.1339,,,,-0.1845,,-5.3965,,17.4094,28.75,28.6113,,,,,,,,,0,28.7832,,,,,,,,,52.0672,28.0365,28.2798,27.2992,1.1118,7.6338,32093272.0,19.2034,,4.1419,0.9692,47.3018,24.841,,,47.1973,28.4534,28.4534,10.851,,,,1.5287,29.3143,,,-53.9172,29.5142
2023-03-24,30.94,32.0,30.55,28.23,7509986,-14249445.7375,-4449958.3514,,,,0.0,64.2857,64.2857,2.0758,,,,0.0552,,-3.549,,15.6591,28.6696,28.5601,,,,,,,,,0,28.7486,,,,,,,,,61.8869,28.4556,28.4331,25.974,-0.5171,7.3538,39603258.0,18.9408,,-1.799,1.1552,48.2255,24.993,,,28.0938,12.0498,12.0498,19.6507,,,,1.3194,29.6784,,,-52.5724,29.4579
2023-03-31,31.24,32.79,30.65,29.77,9558803,-5315984.9898,-1883034.8037,,,,0.0,57.1429,57.1429,2.0666,,,,0.6916,,6.4571,,8.7621,28.8395,28.7219,,,,,,,,,0,28.8245,,,,,,,,,72.1629,28.7395,28.7846,24.1136,0.9307,6.9409,49162061.0,20.2283,,3.2267,1.1781,53.2286,25.1419,,,23.1978,29.0901,29.0901,56.7686,,,,1.9473,29.9098,,,-36.4667,29.5718
2023-04-06,32.5,32.78,31.4,28.77,5634393,-9153904.8594,-1882901.056,,,,0.0,50.0,50.0,2.0087,,,,-0.6377,,-0.2591,,8.7621,28.8292,28.7287,,,,,,,,,0,28.8225,,,,,,,,,67.709,29.2398,28.9558,22.9709,-0.5209,6.9811,43527668.0,19.2698,,-1.7783,1.1134,49.8705,25.2879,,,25.8433,36.3901,36.3901,32.7511,,,,1.2557,29.9833,,,-52.6256,29.5093
2023-04-14,31.5,33.78,31.28,30.47,5200685,-5159778.7794,-440815.2196,,,,0.0,42.8571,42.8571,2.0277,,,,0.796,,10.1218,,0.0071,29.0823,28.9615,,,,,,,,,0,28.9016,,,,,,,,,67.8615,29.7956,29.7535,21.027,0.0991,6.6537,48728353.0,21.024,,0.3261,1.1353,55.0609,25.4309,,,42.0041,60.5321,60.5321,92.0765,,,,2.2749,29.951,,,-36.5788,29.6459
2023-04-21,33.5,33.59,31.94,29.7,9672288,-6625276.9612,-277091.779,,,,0.0,35.7143,35.7143,1.9901,24.9596,28.8439,32.7282,-0.5212,41.5546,4.8096,,0.0071,29.1775,29.0601,,,,,,,,,0,28.911,,,,,,,,,60.4573,29.7956,29.9238,19.834,-1.5577,6.7004,39056065.0,19.8312,,-4.9833,1.0333,52.4048,25.5711,28.8439,,53.3667,63.1778,63.1778,64.7059,,,,1.5014,29.825,,,-54.426,29.6447
2023-04-28,32.67,33.59,32.16,30.53,5008163,-1897290.9122,1319435.3513,,,,57.1429,28.5714,-28.5714,1.9409,24.9751,28.9282,32.8813,0.6154,57.2057,9.8249,,0.0071,29.3855,29.256,,,,,,,,,0,28.9419,,,,,,,,,60.6186,29.7956,29.9238,18.8366,-1.1082,6.3575,44064228.0,18.8339,,-3.5029,1.0585,54.9125,25.7085,28.9282,,68.9515,83.1447,83.1447,92.6518,86.0939,97.1397,,1.3012,29.6862,,,-37.9687,29.7448
2023-05-05,33.62,33.97,31.16,29.44,9011362,-3276253.7805,1413850.5055,,,,50.0,21.4286,-28.5714,1.9849,25.803,29.1783,32.5535,-0.452,25.3925,2.1797,,9.1418,29.3934,29.2801,,,,,,,,,0,28.9443,,,,,,,,,53.8594,29.7956,29.9238,20.4478,-1.1636,6.7428,35052866.0,17.0223,,-3.8026,1.0049,51.0898,25.8431,29.1783,,70.9638,66.5688,66.5688,42.3488,60.5915,23.4926,,2.557,29.5749,,,-59.6706,29.6832
2023-05-12,32.35,33.65,30.99,28.71,8091186,-7960624.6227,-166538.609,,,,42.8571,14.2857,-28.5714,2.016,26.4744,29.35,32.2256,-0.3008,-6.3646,-2.684,,10.6364,29.2882,29.204,,,,,,,,,0,28.94,,,,,,,,,46.8544,29.7956,29.9238,19.1925,-2.4842,7.0222,26961680.0,15.5022,,-7.9638,0.9451,48.658,25.975,29.35,,66.9926,51.2642,51.2642,18.7919,40.2108,0.0,,2.4205,29.4961,,,-74.1386,29.5233
2023-05-19,31.6,31.83,30.8,28.39,6399792,-9390464.5481,-1252870.6222,,,,35.7143,7.1429,-28.5714,1.939,27.043,29.4775,31.9119,-0.3884,-67.3408,-4.8187,,12.3705,29.1501,29.0956,,,,,,,,,0,28.9197,,,,,,,,,39.3101,29.7956,29.9238,19.1654,-0.4004,6.8295,20561888.0,14.9457,,-1.3906,0.9082,47.5907,26.1043,29.4775,,47.4728,24.5854,24.5854,12.6155,7.8309,0.0,,0.9372,29.4309,,,-80.4683,29.3367
2023-05-26,31.25,31.9,30.55,28.27,6752708,-10934527.3504,-2074674.5536,,,,28.5714,0.0,-28.5714,1.8881,27.3564,29.549,31.7416,-0.1335,-90.3011,-5.6465,,14.7177,29.0151,28.9858,,,,,,,,,0,28.8891,,,,,,,,,30.7238,29.5737,29.4918,19.1357,0.3185,6.6782,13809180.0,14.2257,,1.1393,0.8936,47.1767,26.231,29.549,,30.4623,15.5374,15.5374,15.2047,0.0,0.0,,1.2269,29.3834,,,-79.2576,29.1617
2023-06-02,30.9,31.69,30.15,29.13,5402052,-5602631.8699,-525748.095,,,0.2163,21.4286,14.2857,-7.1429,1.8544,27.3974,29.5681,31.7389,0.5065,-70.3677,1.0484,,13.1408,29.0323,29.0046,28.8978,,,,,,,,0,28.8932,,,,,,,,,36.1335,29.5737,29.4918,18.0548,0.9,6.3665,19211232.0,13.8608,0.7483,3.1884,0.9518,50.5242,26.3552,29.5681,,21.3634,23.9674,23.9674,44.082,28.5152,85.5455,,1.4159,29.3629,,,-58.7547,29.1326
2023-06-09,31.71,32.47,31.21,29.27,5754361,-5602631.8699,155698.9194,,,0.3097,14.2857,7.1429,-7.1429,1.8047,27.4397,29.5897,31.7397,0.1032,-23.5224,2.1975,29.1366,3.1796,29.0695,29.0405,28.9257,,,,,,,,0,28.9025,,,,,,,,,35.2639,29.2415,29.4918,17.1987,-0.4998,6.1647,24965593.0,16.1387,1.071,-1.6788,0.9385,51.0988,26.4769,29.5897,,25.7091,37.6226,37.6226,53.5811,61.8485,100.0,,1.1585,29.3371,,,-55.2249,29.1372
2023-06-16,31.88,34.14,31.74,30.58,6566826,-3851478.2699,977503.4872,9.1452,,0.2694,7.1429,0.0,-7.1429,1.8334,27.4666,29.654,31.8413,0.575,63.9741,11.9681,29.5068,14.2315,29.3018,29.2457,29.0482,,,,,,,,0,28.9444,,,,,,,,,44.7909,29.2668,29.3983,15.6743,1.8067,5.9954,31532419.0,20.8759,0.9243,6.2791,1.0621,55.9841,26.5961,29.654,,40.042,58.536,58.536,77.9449,95.1818,100.0,,2.2066,29.3388,,,-20.3251,29.3342
2023-06-23,32.75,32.77,31.47,29.1,4000267,-6743979.0238,304491.1626,9.2756,,0.0661,0.0,92.8571,92.8571,1.82,27.4163,29.5902,31.764,-0.8462,-17.5158,-0.205,29.4356,10.9711,29.2706,29.2262,29.052,,,,,,,,0,28.9466,,,,,,,,,47.751,29.4032,29.5544,15.635,-1.3752,6.2543,27532152.0,19.4885,0.2256,-4.5126,1.041,49.8975,26.713,29.5902,,50.844,56.3733,56.3733,37.594,76.964,30.8919,,1.6457,29.3034,,47.6492,-62.406,29.3167
2023-06-30,31.51,33.25,31.38,30.0,7034780,-4386479.0238,751600.5604,9.7262,,0.0084,71.4286,85.7143,14.2857,1.8124,27.4811,29.5272,31.5733,0.6005,25.1917,6.4613,29.6003,15.584,29.3829,29.3294,29.1222,,,,,,,,0,28.9697,,,,,,,,,47.6858,29.426,29.5544,14.55,0.2993,6.0414,34566932.0,19.9221,0.0286,1.0077,1.0628,53.2306,26.8275,29.5272,,58.0469,59.2314,59.2314,62.1554,61.8847,54.7623,,1.7147,29.2646,,54.4095,-37.8446,29.4085
2023-07-07,32.65,32.9,30.9,29.36,4743240,-4255713.0087,907788.9952,9.7083,,-0.1814,64.2857,78.5714,14.2857,1.814,27.6105,29.4132,31.2159,-0.3609,-7.8143,1.2784,29.571,9.4754,29.3789,29.3331,29.1396,,,,,,,,0,28.9726,,,,,,,,,39.5967,29.426,29.5544,15.254,-1.1724,6.1792,29823692.0,18.4473,-0.6139,-3.8401,0.986,50.6392,26.9398,29.4132,,53.1387,43.8114,43.8114,31.6847,32.6135,12.1862,,1.8342,29.2345,,53.931,-55.3885,29.3976
2023-07-14,31.78,33.17,31.44,30.37,6803750,1450025.4639,2704620.233,9.8922,,-0.1883,57.1429,71.4286,14.2857,1.7984,27.6269,29.4016,31.1763,0.7205,64.1273,8.7927,29.7969,12.2836,29.5311,29.4711,29.2306,,,,,,,,0,29.002,,,,,,,,,46.648,29.426,29.5544,14.265,0.9309,5.9219,36627442.0,18.2603,-0.6358,3.1625,1.0554,54.3963,27.0498,29.4016,,52.0729,53.176,53.176,65.6878,46.9543,73.9144,,1.5952,29.2664,,59.4113,-27.8195,29.5255
2023-07-21,33.03,33.86,32.76,31.09,4775414,5750058.8847,4562005.443,10.5592,,-0.2282,50.0,64.2857,14.2857,1.7425,27.6428,29.3962,31.1495,0.7059,167.1702,13.8029,30.1552,19.2295,29.7702,29.6863,29.368,15.6467,,0.9703,0.582,,,,0,29.0221,,,,,,,0.3069,5.6124,46.4778,29.6788,29.5544,13.6576,2.376,5.6055,41402856.0,20.1607,-0.7683,8.2763,1.02,56.9014,27.1575,29.3962,,54.0529,65.1715,65.1715,98.1419,62.0335,100.0,,1.0159,29.3423,,57.9547,-8.2707,29.7338
2023-07-28,33.76,34.49,33.53,31.11,3901692,4368209.6347,4467437.7727,11.5894,,-0.1585,42.8571,100.0,57.1429,1.6811,27.6317,29.5122,31.3928,0.0833,182.3306,13.9985,30.4477,24.9824,29.9767,29.8765,29.4972,17.1585,,0.7539,-0.6552,,,,0,29.0679,0.501,0.1848,0.3162,-0.1585,-0.1711,0.0126,0.3347,5.8674,54.4761,29.6926,29.7153,13.1344,2.7221,5.4031,45304548.0,21.8825,-0.5324,9.588,1.0475,56.9993,27.2632,29.5122,,66.749,81.8995,81.8995,81.8689,91.3048,100.0,,0.8826,29.4751,,56.959,-14.977,29.94
2023-08-04,33.91,34.21,31.78,30.25,5089877,3970235.7129,3895992.2259,10.9677,,-0.0254,35.7143,92.8571,57.1429,1.7206,27.8644,29.627,31.3896,-0.4156,80.4587,5.8874,30.4642,2.8854,30.0186,29.9261,29.5529,18.5651,,0.296,-0.386,,,,0,29.0757,0.4839,0.1341,0.3498,-0.0254,-0.0111,-0.0142,0.3636,6.1112,48.3485,29.6926,29.7153,18.702,1.9762,5.6881,40214671.0,19.8134,-0.0852,6.9897,0.9908,52.9437,27.3667,29.627,,75.208,78.5531,78.5531,55.6485,78.7445,36.2335,,2.2342,29.6096,,53.896,-36.6359,30.0175
2023-08-11,33.01,35.23,32.44,32.3,6778628,10262940.5588,5310262.2053,11.0833,,0.2603,28.5714,100.0,71.4286,1.7809,27.8364,29.8306,31.8247,0.7599,180.7295,20.3637,30.983,12.5863,30.3694,30.2425,29.7563,19.713,,0.297,0.1149,,,,0,29.23,0.6285,0.223,0.4055,0.2603,0.28,-0.0197,0.3937,6.373,58.1522,30.2856,30.0555,16.7444,3.172,5.5138,46993299.0,21.5663,0.8733,10.8902,1.0972,60.1818,27.4682,29.8306,,79.5823,78.2941,78.2941,97.365,78.7445,100.0,,2.5652,29.8003,,64.5468,-1.9685,30.3711
2023-08-18,34.92,35.55,33.0,30.87,4081449,8038150.7117,4698188.4087,11.3945,,0.5065,21.4286,100.0,78.5714,1.8212,27.8407,29.8856,31.9305,-0.5255,139.5957,7.9361,31.0414,15.4401,30.447,30.3267,29.8391,20.6969,,0.3081,1.079,,,,0,29.28,0.6209,0.1723,0.4486,0.5065,0.4999,0.0066,0.4248,6.6181,60.8548,30.2856,30.2026,15.1803,1.5998,5.8987,42911850.0,20.724,1.7007,5.4648,1.0754,53.968,27.5676,29.8856,,74.589,66.9196,66.9196,47.7454,50.1285,14.152,,2.3445,30.0127,,59.3706,-36.4815,30.5073
2023-08-25,33.66,33.7,32.44,30.55,3535469,8943230.7757,4308666.566,11.2096,,0.6271,14.2857,92.8571,78.5714,1.7732,27.9768,29.9745,31.9723,-0.344,53.9498,5.2924,31.0022,8.8054,30.4631,30.3567,29.8919,21.9301,,1.1627,1.6224,,,,0,29.3186,0.5823,0.107,0.4753,0.6271,0.5582,0.0689,0.457,6.8574,62.8633,30.2856,30.2026,16.5534,-0.0276,5.8038,39376381.0,19.7501,2.106,-0.0902,1.0761,52.6462,27.7211,29.9745,,68.8015,61.1906,61.1906,38.4615,38.0507,0.0,,1.1493,30.2233,,60.6166,-42.963,30.5801
2023-09-01,33.45,35.2,33.25,32.38,3857477,11740054.7822,4647518.3083,12.1423,,0.8401,7.1429,85.7143,78.5714,1.7973,27.8207,30.0696,32.3184,0.7746,155.553,17.6051,31.4185,24.2674,30.7573,30.6258,30.0758,23.367,,1.4545,-0.5155,,,,0,29.5043,0.6908,0.1724,0.5184,0.8401,0.6787,0.1613,0.4902,7.1126,70.454,30.7372,30.2026,15.1457,3.2757,5.5514,43233858.0,24.8522,2.8169,11.2571,1.1451,58.8025,27.87,30.0696,,62.3995,59.0881,59.0881,91.0575,31.9495,81.6966,,2.1107,30.4525,,62.0213,-6.2432,30.8754
2023-09-08,34.86,35.09,33.78,32.46,2979420,14219114.1715,5152429.435,13.0084,,0.8556,0.0,78.5714,78.5714,1.7557,27.7385,30.2074,32.6764,0.0916,148.889,18.1302,31.7689,24.2674,31.019,30.8702,30.2523,25.1971,,0.6765,-0.8754,,,,0,29.6489,0.7746,0.2049,0.5696,0.8556,0.579,0.2766,0.5246,7.366,69.6333,30.7789,30.5497,14.3869,2.4582,5.4091,46213278.0,23.6071,2.8554,8.194,1.1144,59.0651,28.0145,30.2074,,64.7151,73.8665,73.8665,92.0804,55.6257,85.1806,32.038,1.2156,30.6689,,62.148,-5.3024,31.1427
2023-09-15,35.32,36.14,34.72,33.45,5346421,18887819.8335,6376078.5671,14.3654,11.7553,1.0068,28.5714,100.0,71.4286,1.7244,27.5085,30.3535,33.1986,0.5141,178.6615,24.3063,32.2915,32.0067,31.3932,31.2144,30.4893,26.7298,,0.9432,0.3946,,,,0,29.8844,0.9106,0.2728,0.6378,1.0068,0.5975,0.4094,0.5601,7.6269,69.7518,31.2754,30.9747,13.592,4.0947,5.155,51559699.0,26.3883,3.3366,13.948,1.1427,62.1531,28.1546,30.3535,,75.5275,93.6279,93.6279,97.7458,88.9591,100.0,32.6794,1.3176,30.892,0.3614,65.8349,-1.6309,31.5107
2023-09-22,36.04,36.22,34.02,31.64,6548314,12814666.9401,4364651.9671,14.981,12.1283,1.0123,21.4286,100.0,78.5714,1.7474,27.5985,30.4638,33.3291,-0.8798,113.1983,8.2755,32.2543,22.9836,31.4315,31.2714,30.5747,27.1067,,0.9543,-1.8246,,,,0,29.9055,0.8625,0.1797,0.6828,1.0123,0.4651,0.5472,0.5967,7.867,60.0828,31.2754,31.0141,15.1275,1.2739,5.5224,45011385.0,24.1563,3.3402,4.1948,1.0347,54.1377,28.3698,30.4638,,82.2438,79.2369,79.2369,47.8846,66.9566,15.6892,32.5089,2.0461,31.1072,0.3806,60.7822,-37.9236,31.5976
2023-09-29,33.96,34.14,33.27,30.94,6660682,7225818.8251,1366739.2335,14.9104,12.3183,1.0992,14.2857,92.8571,78.5714,1.6803,27.8203,30.5752,33.33,-0.7126,41.368,2.7157,32.04,13.993,31.3554,31.2268,30.6015,26.9847,,-0.2491,0.387,,,,0,29.9279,0.7587,0.0607,0.698,1.0992,0.4123,0.6869,0.6342,8.0977,57.6673,31.4041,31.0141,17.5935,-0.1485,5.4313,38350703.0,23.3183,3.6217,-0.4776,1.0631,51.3578,28.632,30.5752,,75.1405,52.5565,52.5565,12.0392,38.5631,0.0,32.1135,0.8073,31.3039,0.385,54.4496,-51.4869,31.5804
2023-10-06,33.18,33.3,30.62,29.67,8708069,7371764.1156,62508.5046,14.6205,12.1644,1.0068,100.0,85.7143,-14.2857,1.7408,28.0354,30.6394,33.2433,-0.4469,-56.4986,-6.5334,31.5453,10.8519,31.0968,31.0198,30.5329,27.7853,,1.0111,2.9258,,,,0,29.9263,0.568,-0.1039,0.672,1.0068,0.2051,0.8016,0.6726,8.3135,47.2748,31.4041,31.011,25.9576,-1.438,5.8664,29642634.0,20.8753,3.3133,-4.6219,0.9891,46.7333,33.6138,30.6394,,53.2929,28.0851,28.0851,24.3316,5.2297,0.0,31.3596,2.5286,31.4221,0.3687,57.3177,-75.6684,31.3774
2023-10-13,31.6,33.61,31.51,30.06,5293670,6565109.6394,-733385.8092,14.1401,12.0162,0.9375,92.8571,78.5714,-14.2857,1.7557,28.3428,30.729,33.1152,0.381,-32.5992,-3.4358,31.2375,7.895,30.938,30.8925,30.4982,29.1221,,1.7773,0.6596,,,,0,29.9276,0.4433,-0.1829,0.6262,0.9375,0.0606,0.8769,0.7119,8.531,53.7733,31.5631,31.011,23.8812,-0.184,5.8397,34936304.0,20.3863,3.0868,-0.6084,1.0241,48.2821,33.5618,30.729,,34.4571,22.7297,22.7297,31.8182,3.3481,10.0443,30.9201,1.9486,31.5161,0.3422,55.1228,-68.1818,31.2295
2023-10-20,32.7,33.15,30.17,28.22,7274111,464636.7167,-2933367.0666,14.4207,12.4899,0.7533,100.0,71.4286,-28.5714,1.8275,28.1471,30.6835,33.22,-0.7697,-117.0492,-15.9115,30.5258,18.0687,30.5196,30.5359,30.3293,29.9661,,1.8645,-2.6447,,,,0,29.8866,0.1932,-0.3464,0.5396,0.7533,-0.151,0.9043,0.7519,8.7279,44.8107,30.8347,30.8046,26.1828,-4.0809,6.4762,27662193.0,18.169,2.485,-12.6348,0.9292,42.0442,33.5102,30.6835,,23.6175,20.0378,20.0378,3.9637,3.3481,0.0,29.9431,2.7606,31.5144,0.2948,43.8635,-96.0363,30.8286
2023-10-27,30.25,31.04,28.84,26.86,7467774,-6254658.7958,-5704647.329,15.2993,13.4443,0.6122,100.0,64.2857,-35.7143,1.8424,27.5802,30.563,33.5458,-0.5923,-200.4155,-23.7001,29.6131,26.7205,29.957,30.0462,30.0725,31.141,,0.7399,-7.2926,,,,0,29.7203,-0.113,-0.5221,0.4091,0.6122,-0.2905,0.9026,0.7927,8.9092,37.519,30.1573,30.1875,28.9199,-4.0106,6.8585,20194419.0,16.7237,2.0289,-12.9902,0.8642,38.1499,33.3999,30.563,,18.4622,12.6191,12.6191,2.0755,3.3481,0.0,28.7414,2.0368,31.377,0.2251,36.1922,-98.5105,30.2676
2023-11-03,29.01,32.04,28.35,29.38,10488455,2073572.4102,-3669856.8409,15.3988,13.1833,0.371,100.0,57.1429,-42.8571,1.9554,27.4758,30.5029,33.53,0.7182,-119.4013,-4.3751,29.5045,16.6928,29.8679,29.9571,30.0211,31.198,,-1.666,-8.9619,,,,0,29.715,-0.151,-0.4481,0.2971,0.371,-0.4795,0.8505,0.8343,9.1139,41.8512,30.1573,29.9602,25.2794,-1.1741,6.656,30682874.0,18.047,1.2298,-3.843,0.9442,47.8125,33.2008,30.5029,,18.5486,22.989,22.989,62.9278,31.7883,95.3648,28.7322,3.424,31.1423,0.1638,42.8177,-57.9683,30.0821
2023-11-10,31.67,32.3,30.59,28.81,7525640,-1403185.2506,-3610060.275,15.3114,13.1974,0.1952,92.8571,50.0,-42.8571,1.9291,27.4323,30.4885,33.5447,-0.3626,-82.2217,-7.8643,29.2798,14.1756,29.7055,29.8044,29.9315,30.5542,,-3.4178,-5.3163,,,,0,29.7031,-0.2243,-0.4171,0.1928,0.1952,-0.5819,0.7771,0.8767,9.3109,49.1835,30.1573,29.9602,23.7851,-3.5632,6.6954,23157234.0,17.879,0.6471,-11.006,0.9525,46.0679,32.925,30.4885,,24.7954,38.778,38.778,51.3308,57.8371,78.1464,28.5481,1.5867,30.8153,0.1059,44.2241,-65.7143,29.8376
2023-11-17,30.87,33.77,30.82,31.15,7657405,5215927.546,-1151329.4014,14.2835,12.839,0.139,85.7143,42.8571,-42.8571,1.9868,27.4855,30.546,33.6066,0.9153,-6.8606,7.2002,29.6847,0.9205,29.9277,29.9838,30.0218,29.4859,,-3.8135,-1.2219,,,,0,29.7188,-0.0925,-0.2283,0.1357,0.139,-0.5417,0.6807,0.92,9.5293,49.5487,30.1573,29.9602,21.4316,-1.3084,6.3781,30814639.0,21.0406,0.4589,-4.0309,0.9644,53.6001,32.6603,30.546,29.6243,43.9855,70.1895,70.1895,96.31,91.1704,100.0,29.2459,2.7374,30.4672,0.0714,50.3837,-33.7143,29.9186
