date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2023-05-19,24.67,24.76,24.52,21.49,49738,-29345.42,,,,,,,,,,,,-0.42,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49738.0,,,,,,,,,,,,,,,,,,,,,
2023-05-26,24.64,24.82,24.46,21.63,4109,-27290.92,,,,,,,,,,,,0.2453,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,53847.0,,,,,21.3947,,,,,,,,,,,0.3149,,,,,
2023-06-02,24.34,24.68,24.07,21.59,39705,12414.08,,,,,,,,,,,,0.5625,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14142.0,,,,,21.7096,,,,,,,,,,,0.5773,,,,,
2023-06-09,24.65,24.8,24.65,21.62,77,12408.8605,,,,,,,,,,,,0.4661,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14219.0,,,,,21.7096,,,,,,,,,,,0.1355,,,,,
2023-06-16,24.47,25.63,24.43,22.41,1239,13647.8605,,,,,,,,,,,,0.9674,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15458.0,,,,,21.0536,,,,,,,,,,,1.045,,,,,
2023-06-23,25.33,25.76,25.07,22.01,4535,10286.1924,,,,,,,,,,,,-0.2487,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10923.0,,,,,21.0672,,,,,,,,,,,0.6038,,,,,
2023-06-30,25.26,25.26,24.66,22.05,3427,13182.7006,,,,,,,,,,,,-0.0774,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14350.0,,,,,21.0965,,,,,77.3752,67.7026,,,,,0.5232,,,,,
2023-07-07,25.2,25.51,25.16,22.31,13494,23629.6683,,,,,,,,,,,,0.7643,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27844.0,,,,,21.1251,,,,,70.9817,80.8194,,,,,0.3095,,,,,
2023-07-14,25.48,26.08,25.48,22.74,3883,25996.7785,,,,,,,,,,,,0.8048,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31727.0,,,,,21.1533,,,76.2983,80.5378,80.5378,93.0915,,,,,0.5342,,,,,
2023-07-21,25.86,26.5,25.86,23.21,4294,30290.7785,15267.5198,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36021.0,,,,,21.2039,,,80.941,91.3036,91.3036,100.0,,,,,0.5562,,,,,
2023-07-28,26.67,27.01,26.67,23.66,1187,31477.7785,14237.1708,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.1697,,37208.0,,,,,21.284,,,89.8462,97.6972,97.6972,100.0,,,,,0.4539,,,,,
2023-08-04,27.07,27.07,26.72,23.6,708,31670.1253,12582.5773,,,,,,,,,,,-0.3642,,,,,22.3601,,,,,,,,,,0,,,,,,,,,,,,,,1.9649,,36500.0,,,,,21.4028,,,95.6004,97.8004,97.8004,93.4011,,,,,0.303,,,,,
2023-08-11,26.97,27.19,26.96,23.62,3427,28243.1253,9671.4184,,,,,,,,,,,-0.0222,,,,,22.5535,,,,,,,,,,0,,,,,,,,,,,,,,2.0262,,39927.0,,,,,21.541,,,96.2999,93.4023,93.4023,86.8058,,,,,0.219,,,,,
2023-08-18,26.89,26.89,26.4,23.36,6390,29028.651,7851.2099,,,,,,,,,,,-0.4385,,,,,22.6784,22.5217,,,,,,,,,0,,,,,,,,,,,22.575,22.4341,,1.7407,,33537.0,,,,,21.7002,,,90.5768,80.5276,80.5276,61.3759,,,,,0.4905,22.4851,,,-16.2951,22.9261
2023-08-25,26.7,27.03,26.65,23.67,5881,34909.651,8264.0601,,,,14.2857,85.7143,71.4286,0.4571,,,,0.8533,,58.7959,,38.5032,22.8315,22.6753,,,,,,,,,0,23.419,,,,,,,,,47.426,22.6328,22.4341,19.3047,1.2598,1.9307,39418.0,43.4781,,1.1016,79.3979,21.8482,,,83.2806,75.912,75.912,79.5541,,,,,0.3331,22.6824,,,-5.0912,23.0798
2023-09-01,26.97,27.54,26.94,24.08,711809,630693.784,197249.3538,,,,7.1429,100.0,92.8571,0.462,,,,0.8685,,63.119,,45.5087,23.0234,22.8624,,,,,,,,,0,23.5438,,,,,,,,,94.3421,22.8349,22.5874,17.632,2.073,1.9186,751227.0,47.083,,1.1132,81.5595,21.9858,,,78.4378,78.8739,78.8739,95.6916,,,,,0.5255,22.8889,,,-1.3962,23.2665
2023-09-08,27.63,27.77,27.48,24.19,184224,620997.784,253544.6691,,,,0.0,100.0,100.0,0.4468,,,,-0.0351,,64.2471,,48.3627,23.2031,23.0396,,,,,,,,,0,23.6754,,,,,,,,,99.0076,22.9077,22.846,16.8837,2.1374,1.8469,935451.0,48.5098,,1.1204,82.1235,22.1567,,,80.9572,88.0856,88.0856,89.011,,,,,0.2496,23.0933,,,-4.4484,23.4451
2023-09-15,27.84,28.26,27.72,24.6,30613,632155.7933,257075.3311,,,,7.1429,100.0,92.8571,0.4549,,,,0.4673,,68.0808,,53.9023,23.4184,23.2481,,,,,,,,,0,23.8798,,,,,,,,,99.0394,23.3042,23.0606,15.3121,2.2947,1.849,966064.0,51.1211,,1.1378,84.0404,22.3516,,,86.2685,91.8461,91.8461,90.8356,,,,,0.5606,23.2857,,,-4.4019,23.6537
2023-09-22,28.07,28.15,27.72,24.28,21471,610684.7933,228317.5264,,,,0.0,92.8571,92.8571,0.4493,,,,-0.814,,54.0744,,53.721,23.5508,23.3855,,,,,,,,,0,23.9281,,,,,,,,,96.8618,23.3042,23.1615,14.4193,1.5382,1.8507,944593.0,47.8953,,1.0832,77.0372,22.5917,,,87.3464,82.1076,82.1076,66.4763,,,,,0.3766,23.4539,,,-14.8699,23.7908
2023-09-29,27.62,27.79,27.27,23.92,146601,484499.0894,155646.8344,,,,7.1429,85.7143,78.5714,0.4498,20.9906,23.0023,25.0139,-0.6034,77.6782,40.0243,,37.9778,23.6071,23.4563,,,,,,,,,0,23.9266,,,,,,,,,84.3277,23.3285,23.1615,19.8947,0.7106,1.8805,797992.0,44.2588,,1.0868,70.0121,22.8077,23.0023,,78.547,61.6873,61.6873,27.75,,,,,0.4554,23.6063,,,-26.262,23.8617
2023-10-06,26.76,26.9,26.05,23.18,78473,425395.0722,92962.3791,,,,0.0,78.5714,78.5714,0.4767,21.1982,23.0869,24.9756,-0.7119,25.065,16.783,,12.8493,23.5417,23.4198,,,,,,,,,0,23.8931,,,,,,,,,79.2177,23.4557,23.3928,29.7593,-0.4776,2.0564,719519.0,38.5347,,1.0512,58.3915,23.0021,23.0869,,59.0226,33.2729,33.2729,5.5924,0.0,0.0,,,0.8273,23.7267,,,-57.7451,23.8166
2023-10-13,26.5,27.09,26.33,24.01,11139,436534.0722,62411.8402,,,,0.0,71.4286,71.4286,0.5019,21.4011,23.2059,25.0107,0.7751,51.6746,30.7528,,16.3216,23.6139,23.4986,,,,,,,,,0,23.9012,,,,,,,,,79.1926,23.6719,23.5365,26.1155,0.4153,2.0902,730658.0,36.3032,,1.0763,65.3764,23.0893,23.2059,,41.518,29.5937,29.5937,55.4387,9.0776,27.2328,,,0.8287,23.8297,,,-30.4785,23.8713
2023-10-20,27.0,27.45,26.95,24.2,9234,440413.5323,45474.4625,,,,0.0,64.2857,64.2857,0.4977,21.6434,23.3364,25.0295,0.6102,76.804,33.5252,,22.6305,23.7044,23.5924,,,,,,,,,0,23.919,,,,,,,,,79.2891,23.8926,23.7009,24.3927,0.5846,2.0565,739892.0,38.6623,,1.0643,66.7626,23.0893,23.3364,,35.6318,44.0289,44.0289,71.0556,24.0428,44.8957,,,0.4439,23.9105,,,-26.1495,23.9352
2023-10-27,27.28,27.32,26.84,24.21,7105,447518.5323,36672.175,,,,0.0,57.1429,57.1429,0.4923,21.9276,23.4658,25.004,0.0746,66.9891,33.6579,,19.669,23.7824,23.6749,,,,,,,,,0,23.9306,,,,,,,,,78.7546,23.8926,23.9206,24.3128,0.8463,2.0333,746997.0,36.2187,,1.0433,66.8289,23.2556,23.4658,,48.5596,72.0563,72.0563,89.6746,48.2453,72.6073,,,0.4215,23.9678,,,-32.5289,23.9863
2023-11-03,27.04,27.21,26.85,24.01,10616,450756.4123,30767.6397,,,,71.4286,50.0,-21.4286,0.4866,22.0696,23.5454,25.0212,0.1222,52.9674,27.3462,,19.669,23.8169,23.7191,,,,,,,,,0,23.9316,,,,,,,,,78.0532,23.8926,23.9206,22.7939,0.3325,2.0269,736381.0,33.956,,1.0147,63.6731,23.4052,23.5454,,64.7628,78.2032,78.2032,73.8792,60.0335,62.5973,,,0.4127,23.9969,,,-44.8279,24.0007
2023-11-10,27.12,27.16,26.33,23.5,17381,441120.3138,22489.0585,,,0.7896,64.2857,42.8571,-21.4286,0.5044,22.3233,23.6202,24.9171,-0.7292,7.486,13.1314,,5.6771,23.7683,23.6901,23.1985,,,,,,,,0,23.9291,,,,,,,,,76.9656,23.8926,23.9206,27.0625,-0.5771,2.1462,719000.0,30.3201,3.4037,0.996,56.5657,24.7519,23.6202,,70.1021,60.0468,60.0468,16.5865,45.0682,0.0,,,0.7356,23.9952,,,-75.2155,23.9443
2023-11-17,26.57,26.96,26.21,23.53,17102,439551.4903,16558.7352,,,0.6993,57.1429,35.7143,-21.4286,0.5158,22.6121,23.6942,24.7762,-0.0259,-17.6578,13.7805,24.0202,2.6931,23.7321,23.6692,23.2233,,,,,,,,0,23.9268,,,,,,,,,75.875,23.8926,23.9206,26.0184,-0.6583,2.192,736102.0,27.4586,3.0042,0.9964,56.8902,24.7377,23.6942,,59.1851,39.3052,39.3052,27.45,21.9199,3.1625,,,0.6648,23.9745,,,-73.3122,23.8931
2023-11-24,26.82,26.9,26.46,23.6,20694,434139.2134,10905.2662,27.1556,,0.5835,50.0,28.5714,-21.4286,0.5066,22.8798,23.7585,24.6372,-0.4574,-19.8884,15.1236,23.955,2.6931,23.7111,23.6593,23.2508,,,,,,,,0,23.9238,,,,,,,,,76.6334,23.8926,23.9206,24.5685,-1.0078,2.1469,756796.0,25.9284,2.4985,1.0099,57.5618,24.7076,23.7585,,42.1388,27.0643,27.0643,37.1563,4.2894,9.7058,,,0.386,23.9558,,,-69.5698,23.851
2023-12-01,26.51,26.87,26.41,23.48,123343,353698.1265,-17993.7957,25.3095,,0.4515,42.8571,21.4286,-21.4286,0.4995,23.0371,23.7954,24.5538,-0.0435,-45.9149,11.6341,23.8708,1.3107,23.6754,23.6353,23.2677,,,,,,,,0,23.92,,,,,,,,,69.8362,23.8926,23.9206,23.7518,-0.7996,2.1274,633453.0,24.3827,1.9275,0.9918,55.8171,24.6781,23.7954,,32.4128,30.8688,30.8688,28.0,4.2894,0.0,,,0.4077,23.9309,,49.6923,-76.5429,23.7913
2023-12-08,26.3,26.3,25.59,22.89,33855,342289.1155,-31810.4795,24.7978,,0.2601,100.0,14.2857,-85.7143,0.5208,22.9621,23.7796,24.5972,-0.6685,-175.2301,-4.2452,23.654,18.1454,23.5546,23.536,23.2398,,,,,,,,0,23.8683,,,,,,,,,36.4025,23.7467,23.7168,31.2666,-1.0263,2.2752,599598.0,21.6624,1.108,0.9507,47.8774,24.6491,23.7796,,28.2162,26.7155,26.7155,14.9901,3.2353,0.0,,,0.7975,23.8765,,43.7577,-89.9254,23.6548
2023-12-15,25.7,26.02,25.39,23.1,64864,407153.1155,-13932.352,24.5609,,0.1353,100.0,7.1429,-92.8571,0.5238,22.882,23.7515,24.6209,0.5197,-164.0801,1.0488,23.5288,21.4814,23.4841,23.4773,23.2291,,,,,,,,0,23.8347,,,,,,,,,12.3263,23.7467,23.6422,30.8928,-0.0863,2.2681,664462.0,19.9673,0.5757,0.9547,50.5244,24.5901,23.7515,,28.564,28.1078,28.1078,41.3333,9.1109,27.3328,,,0.5635,23.8,,46.1412,-74.6086,23.5571
2023-12-22,26.29,26.45,26.11,23.21,20316,391444.0,-10350.35,23.4788,,0.0299,92.8571,0.0,-92.8571,0.5132,22.8324,23.7319,24.6314,-0.407,-84.5811,3.8462,23.4542,9.4108,23.4412,23.4411,23.2274,,,,,,,,0,23.7917,,,,,,,,,10.5501,23.5846,23.594,29.2514,-0.8056,2.2117,684778.0,24.2194,0.1269,0.9432,51.9231,24.5078,23.7319,,30.257,35.9476,35.9476,51.5195,23.036,41.7753,,,0.3752,23.7089,,44.0419,-68.3023,23.4845
2023-12-29,26.26,26.46,25.6,23.07,19086,378647.7258,-12015.5865,22.7897,,-0.0185,85.7143,0.0,-85.7143,0.5116,22.761,23.7047,24.6484,-0.4825,-92.942,0.1378,23.3607,13.8326,23.3845,23.3919,23.2159,15.6467,,-0.3423,0.0011,,,,0,23.7494,,,,,,,0.2492,4.5066,10.613,23.5507,23.4364,29.7685,-1.1299,2.2174,665692.0,22.5338,-0.0782,0.9503,50.0689,24.4288,23.7047,,36.3419,44.9701,44.9701,42.0574,32.2368,27.6022,,,0.4906,23.6207,,43.7173,-70.1363,23.4073
2024-01-05,25.63,25.85,25.43,23.18,16478,392177.8089,-7299.4671,22.4182,,-0.1211,78.5714,0.0,-78.5714,0.5022,22.7355,23.6955,24.6556,0.4298,-105.6344,3.2047,23.3126,17.5883,23.3533,23.3639,23.2134,17.2118,,-0.2896,-0.1161,,,,0,23.731,0.1977,-0.2634,0.4611,-0.1211,-0.4333,0.3122,0.2714,4.6934,13.7871,23.5507,23.4317,30.3854,-1.0291,2.1665,682170.0,21.2956,-0.5129,0.9693,51.6023,24.353,23.6955,,44.9701,53.9925,53.9925,68.4005,53.8164,92.0718,,,0.3805,23.5402,,48.0794,-63.8839,23.3564
2024-01-12,25.33,25.83,25.33,23.1,18619,402734.3644,-1347.6536,22.2225,,-0.2266,71.4286,14.2857,-57.1429,0.4987,22.6728,23.667,24.6612,0.7835,-104.6096,0.8206,23.2547,19.6785,23.3149,23.3292,23.2053,18.8653,,-0.4366,-0.1829,,,,0,23.727,0.1585,-0.242,0.4006,-0.2266,-0.4259,0.1993,0.2945,4.8775,15.914,23.5507,23.4317,29.6442,-0.903,2.1585,663551.0,19.8955,-0.959,0.9966,50.4103,24.2801,23.667,,51.9433,56.8672,56.8672,60.1437,46.0284,18.4112,,,0.4526,23.4577,,52.7311,-68.2435,23.3019
2024-01-19,25.69,25.84,25.42,23.08,10075,405852.8168,2201.928,22.026,,-0.3162,64.2857,7.1429,-57.1429,0.49,22.6098,23.6169,24.624,0.0119,-91.5575,-0.0284,23.2018,19.4718,23.2783,23.2956,23.1957,20.4026,,-0.4829,0.3241,,,,0,23.6678,0.1239,-0.2213,0.3452,-0.3162,-0.4026,0.0864,0.3183,5.0595,15.6097,23.5507,23.4317,27.9922,-0.4245,2.1234,653476.0,18.8678,-1.3382,0.9611,49.9858,24.2102,23.6169,,56.2047,57.7544,57.7544,44.7192,36.8277,0.0,,,0.3772,23.3607,,54.4809,-69.7317,23.2446
2024-01-26,25.8,26.41,25.8,23.72,801738,1207590.8168,258552.3089,20.58,,-0.3424,57.1429,0.0,-57.1429,0.5009,22.6196,23.5933,24.567,0.9998,-8.467,17.8463,23.3197,1.7814,23.3461,23.352,23.2345,21.7696,,-0.2349,0.5216,,,,0,23.6693,0.1466,-0.1589,0.3055,-0.3424,-0.326,-0.0165,0.3429,5.2461,72.3688,23.5507,23.3718,25.3975,0.186,2.1117,1455214.0,24.5085,-1.4492,0.98,58.9232,24.1431,23.5933,,60.9698,68.2876,68.2876,100.0,39.4704,100.0,,,0.6421,23.2879,,64.5957,-29.3154,23.2819
2024-02-02,26.13,26.4,25.67,23.13,88389,1138574.7483,317958.5057,19.4832,,-0.3556,50.0,0.0,-50.0,0.5126,22.6442,23.5195,24.3947,-0.5205,-42.305,0.07,23.2678,5.2255,23.3123,23.3219,23.2265,22.9223,,-0.1529,0.384,,,,0,23.6336,0.1154,-0.1521,0.2675,-0.3556,-0.2495,-0.1061,0.3683,5.4249,67.7545,23.4485,23.325,24.663,-0.469,2.2164,1366825.0,22.2135,-1.5062,0.9552,50.035,24.0787,23.5195,,62.4149,61.2027,61.2027,38.8889,33.5168,0.5504,,,0.6646,23.2391,,52.6335,-62.5393,23.2447
2024-02-09,25.59,26.3,25.59,23.58,68673,1199777.3709,332829.2838,18.6187,,-0.3502,42.8571,0.0,-42.8571,0.5213,22.6805,23.4846,24.2888,0.9456,-16.6005,11.1683,23.3398,7.3796,23.3538,23.3566,23.2528,23.7801,,-0.0249,0.5365,,,,0,23.6327,0.126,-0.1132,0.2392,-0.3502,-0.1762,-0.1739,0.3945,5.6064,69.9843,23.3047,23.3028,23.4929,0.1028,2.2104,1435498.0,20.2639,-1.4832,0.9823,55.5842,24.0168,23.4846,,68.1387,74.9259,74.9259,85.8889,54.3967,62.6398,,,0.6341,23.217,,59.228,-31.8679,23.2786
2024-02-16,26.31,26.31,25.94,23.56,70037,1239528.1007,321303.5358,17.7832,,-0.3607,35.7143,0.0,-35.7143,0.5078,22.6862,23.4667,24.2471,-0.2162,11.0393,10.45,23.392,6.9216,23.3851,23.3834,23.2754,24.3951,,0.0847,0.1455,,,,0,23.6323,0.1309,-0.0866,0.2175,-0.3607,-0.1317,-0.2291,0.4215,5.7859,72.4111,23.3047,23.2142,22.3842,0.667,2.1554,1365461.0,19.4861,-1.5274,1.0024,55.225,23.9575,23.4667,,68.3313,68.8653,68.8653,81.8182,40.6038,58.6213,,23.4182,0.3323,23.2178,,65.1106,-24.8319,23.3133
2024-02-23,25.99,26.21,25.91,23.27,62682,1176846.1007,267434.772,17.0722,22.1139,-0.3627,28.5714,0.0,-28.5714,0.492,22.6961,23.4711,24.246,-0.2667,-19.4443,2.2046,23.3626,7.8288,23.3674,23.3682,23.275,24.8113,,-0.0191,0.4995,,,,0,23.6278,0.1103,-0.0857,0.1961,-0.3627,-0.09,-0.2727,0.4492,5.9608,70.1003,23.3047,23.1856,21.8364,0.1739,2.1144,1302779.0,18.6655,-1.5365,0.9888,51.1023,23.9005,23.4711,,70.9006,68.9105,68.9105,39.0244,44.423,12.008,,23.373,0.2874,23.2279,-0.0105,59.9628,-43.5439,23.3091
2024-03-01,25.98,26.46,25.98,23.65,46992,1198384.1007,227938.2984,15.913,20.6113,-0.283,21.4286,0.0,-21.4286,0.4922,22.7132,23.4529,24.1925,0.7292,34.393,11.5389,23.4328,0.8444,23.4104,23.4054,23.3025,24.9261,,0.3827,0.6167,,,,0,23.6279,0.123,-0.0584,0.1815,-0.283,0.0191,-0.3021,0.4776,6.1376,70.6468,23.3047,23.1743,20.2575,0.4417,2.0813,1349771.0,20.6025,-1.1998,1.0022,55.7695,23.8458,23.4529,,68.8031,68.6333,68.6333,85.0575,56.8764,100.0,,23.4703,0.494,23.2539,-0.0067,60.765,-13.1638,23.3577
2024-03-08,26.44,26.5,26.16,23.7,65362,1222040.1824,198585.9218,14.9338,19.8658,-0.2137,14.2857,0.0,-14.2857,0.4791,22.761,23.4278,24.0946,-0.1449,64.8287,12.8191,23.5027,2.2032,23.4551,23.4448,23.3321,24.8702,,0.3465,-0.3135,,,,0,23.6287,0.1359,-0.0365,0.1724,-0.2137,0.0986,-0.3124,0.5068,6.3133,78.3579,23.3047,23.1662,19.3139,0.6287,2.0216,1415133.0,20.1841,-0.9068,1.0094,56.4096,22.5325,23.4278,,69.4018,70.6614,70.6614,87.9024,70.6693,100.0,,23.5617,0.3099,23.2999,-0.0008,61.5988,-7.8018,23.413
2024-03-15,26.3,26.94,26.29,24.16,39490,1256669.8747,179543.4042,14.9978,19.7793,-0.1172,7.1429,100.0,92.8571,0.4866,22.7703,23.4252,24.0801,0.9231,151.7274,23.0172,23.6727,15.83,23.5634,23.5401,23.3933,24.9381,,0.1679,0.0897,,,,0,23.6701,0.181,0.0069,0.1741,-0.1172,0.183,-0.3002,0.5367,6.4917,80.8484,23.6157,23.3637,17.6465,0.977,2.0142,1454623.0,24.2841,-0.4976,1.0554,61.5086,22.5452,23.4252,,76.329,89.6921,89.6921,96.1165,100.0,100.0,,23.7887,0.5838,23.3609,0.011,62.6778,-2.1609,23.5273
2024-03-22,27.14,27.24,26.94,24.24,124617,1170071.6204,127877.1657,15.6154,19.5471,-0.0184,0.0,100.0,100.0,0.4737,22.7344,23.4369,24.1393,-0.5085,215.3331,24.6914,23.8292,23.6439,23.6675,23.6334,23.456,24.7151,,0.3841,-0.1897,,,,0,23.7102,0.2207,0.0373,0.1834,-0.0184,0.2487,-0.2671,0.5674,6.6692,86.052,23.6561,23.6067,16.8281,1.1363,1.9541,1579240.0,27.2499,-0.0781,1.0495,62.3457,22.5782,23.4369,,82.9203,88.4073,88.4073,81.203,100.0,100.0,,23.9845,0.3054,23.427,0.0267,65.7429,-13.089,23.6402
